		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111000100   11   12   12   13   11   12   12    9  7.393619 0.494819 SUCCESS 120
111000110   33   28   22   27   26   25   24   29 81.810865 0.000000 FAILURE 121
111001000    8   10   10    8    8   16   12    6 19.777730 0.011210 SUCCESS 122
111001010   24   23   27   23   27   24   20   25 48.607646 0.000000 FAILURE 123
111001100    7   14   14   10   11   12    8   11 12.417341 0.133532 SUCCESS 124
111010000    8   11   10    5    9    6    9    7 27.957944 0.000482 FAILURE 125
111010010   11   11    9   10   12   11   13   12  8.973749 0.344515 SUCCESS 126
111010100   22   24   23   23   19   20   20   19 23.536432 0.002740 FAILURE 127
111010110   14   16   12   19   15   13   18   15  2.761764 0.948407 SUCCESS 128
111011000    2    2    2    3    2    3    4    5 81.519724 0.000000 FAILURE 129
111011010   11   10   10    7    9   11   12   11 14.198658 0.076732 SUCCESS 130
111011100   10    8    4    9    9    6    5    6 36.354427 0.000015 FAILURE 131
111100000   15   16   13   17   15   12   13   12  2.124271 0.976963 SUCCESS 132
111100010    9    7   10   13    9   14   14    7 15.857163 0.044471 SUCCESS 133
111100100    7   10   11    9    7   14   12    8 18.122996 0.020323 SUCCESS 134
111100110   23   23   30   25   22   25   28   22 56.683901 0.000000 FAILURE 135
111101000    6    7    6    9    8    6    4    9 37.729601 0.000008 FAILURE 136
111101010   17   16   13   11   13   11   10   14  4.867079 0.771684 SUCCESS 137
111101100    5   10    8    8    8    5    9   11 29.128162 0.000301 FAILURE 138
111101110    7   10    6    8    9    8    8    7 28.643646 0.000366 FAILURE 139
111110000    9   13    9   14   11    8   10    8 14.821069 0.062719 SUCCESS 140
111110010   16   16   18   18   21   26   15   17 12.530458 0.129059 SUCCESS 141
111110100    6    6    4    6   10    7    5   13 38.284950 0.000007 FAILURE 142
111110110    7    7    6    6    4    9    5    5 44.475120 0.000000 FAILURE 143
111111000    9   10   11   12    9   15   13    9 11.109229 0.195587 SUCCESS 144
111111010   11    9   16   12   15    7    9   17 11.400100 0.180043 SUCCESS 145
111111100   10    9   14   10   11   17   12    9 10.427298 0.236306 SUCCESS 146
111111110   12    7   11    7   12   10    9    9 17.776374 0.022967 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   23   27   23   28   23   27   25   27 61.726477 0.000000 FAILURE   0
000000011   21   18   17   18   17   17   15   16  4.655389 0.793693 SUCCESS   1
000000101   18   17   18   21   17   23   18   18  9.985066 0.266076 SUCCESS   2
000000111   12   12    7    9    7   10    8   14 17.642250 0.024074 SUCCESS   3
000001001    4    8    2    7    4    5    9    2 57.008438 0.000000 FAILURE   4
000001011   18   21   21   22   16   24   18   17 15.582990 0.048753 SUCCESS   5
000001101   14   10   13   14   12    9   10   12  7.535284 0.480127 SUCCESS   6
000001111   14   16    8    9    8   10    9   12 14.139138 0.078210 SUCCESS   7
000010001    9    9   10    9   16   12    9   12 12.898087 0.115405 SUCCESS   8
000010011    4    6    5    7    6    4    7    7 47.847880 0.000000 FAILURE   9
000010101   12   10   14   12   14    8   14   18  7.136682 0.521960 SUCCESS  10
000010111   43   44   43   50   42   46   43   42 471.831731 0.000000 FAILURE  11
000011001   13   12    8   16   15   10   11   11  8.228527 0.411471 SUCCESS  12
000011011   11    8   13    9    8    7    9   10 19.151549 0.014070 SUCCESS  13
000011101   12   17   19   19   18   16   14   14  3.947064 0.861868 SUCCESS  14
000011111    5    9    3    7    5    7    4   11 44.340996 0.000000 FAILURE  15
000100011   12   14   14   13   21   17   15   13  4.066106 0.851110 SUCCESS  16
000100101   11   21   16   15   21   15   12   11  7.863860 0.446881 SUCCESS  17
000100111    6    7    8    9    9    5    7    8 32.910835 0.000064 FAILURE  18
000101001    9    9    6   11    8   11   11    9 19.632294 0.011820 SUCCESS  19
000101011    8   10   11    9   11    7    9   16 16.680759 0.033610 SUCCESS  20
000101101   19   17   20   18   15   18   16   14  4.513724 0.808058 SUCCESS  21
000101111   19   18   15   23   18   16   23   20 13.022515 0.111077 SUCCESS  22
000110011   13   13   12   14   10   13   13   10  5.198618 0.736152 SUCCESS  23
000110101   11   14   18   10   12   17   13   10  6.383918 0.604310 SUCCESS  24
000110111   16   10   15   15   12   10   12   13  5.001203 0.757448 SUCCESS  25
000111001   12   11   15    9   10   15   12   14  6.577563 0.582818 SUCCESS  26
000111011   16   24   19   17   21   21   16   15 12.120545 0.145906 SUCCESS  27
000111101    7   10   12    9    8    7   10   10 20.388829 0.008961 FAILURE  28
000111111    7   12    6    6    4    7    8    8 35.597892 0.000021 FAILURE  29
